id,is_deleted,account_id,record_type_id,name,description,stage_name,amount,probability,close_date,type,next_step,lead_source,is_closed,is_won,forecast_category,forecast_category_name,campaign_id,has_opportunity_line_item,is_split,pricebook_2_id,owner_id,created_date,created_by_id,last_modified_date,last_modified_by_id,system_modstamp,last_activity_date,push_count,last_stage_change_date,fiscal_quarter,fiscal_year,fiscal,contact_id,last_viewed_date,last_referenced_date,synced_quote_id,contract_id,has_open_activity,has_overdue_task,last_amount_changed_history_id,last_close_date_changed_history_id
174d35c7-d5b9-42c7-b307-31c2975dace5,False,a14eae71-4fef-40a0-ba78-15b133f54f06,7a783cda-8fd9-4008-b6d6-5abcfcb4e5f9,"Harrison, Price and Moore opportunity","Water star change world.
Personal exist threat catch carry clearly former. Water whether represent feel. Discover town around part data. Sort talk dog upon easy.",prospecting,464781.95,19,2024-09-25,existing business,Blue bank establish adult enough reduce.,other,True,False,omitted,best case,93549024-05ab-4126-92df-838ed11c8c80,True,False,7969c7bb-84c3-4237-8f11-56f706b61731,8ea394ff-1ee1-4a2b-9530-32096f64806c,2022-08-03,9405cde0-09ac-465b-8599-a0fb317fca75,2023-01-21T19:04:55.883585,e3e7930b-4978-4ea0-99f4-67fbec72cb63,2023-10-25T15:29:20.021488,2024-01-04T14:41:49.868495,4,2024-01-01T00:24:52.250200,2,2022,q3-2023,76ac731f-2aca-4a98-9b09-9e4774562f76,2024-01-01T17:09:20.725146,2024-01-02T08:01:06.440058,6221f187-ef19-4f74-96a4-617088f0d822,76adc352-b965-49a0-98e0-dd77c2210307,False,True,c52b92eb-3a4a-4a1c-a38a-6ee6577690d6,4daa8507-a26c-40fd-a156-b16b36bd9b20
11634fe5-ae08-452f-9acc-4c83f07b05aa,False,5c55cbb0-bd54-423b-8326-703eef74e8ad,3d785304-c73f-43e6-99d6-84f5b8110b4a,Gonzalez Group opportunity,Share good program avoid right nearly. Quickly produce heavy every country table series behavior. Its would cause some.,value proposition,421770.61,86,2024-06-18,new business,News itself military create maintain.,web,True,True,closed,omitted,c309817b-ac5d-44ae-bc1b-dfc9c4690346,True,True,a74348e0-5f21-4545-860b-f249da104c39,853451ac-a353-4ef3-ae19-cbd3524c0112,2023-12-31,af911850-f9e4-49f3-8fbc-0b426a654c71,2023-12-31T07:35:51.246389,54100570-c76a-4394-83f3-b9d494be670e,2022-09-14T17:25:25.588123,2024-01-01T18:02:52.849715,2,2024-01-03T06:16:21.792978,4,2020,q1-2021,a0befb17-bd0e-44e4-80d4-62b062c073c4,2024-01-01T11:34:02.719110,2024-01-02T15:23:37.029105,33ded373-2225-45f1-b2ea-656773368dbb,69a1c569-9a84-4c63-9600-58ea3c50954b,True,True,8aa508b3-fccf-4daa-b767-6b5e21d64677,a6dac22b-69e1-47c6-98b7-23878e66ee8a
3bc070f8-f931-428c-a59e-2573303023b5,True,3d77518e-5f30-4938-805f-81d374580cc3,b1749e55-1152-40b2-9dc0-2df7c23d6864,"Clarke, Love and Phillips opportunity",Glass attention answer perform center black remember. Night pressure goal decide ask believe forget. Fund perform some effort.,qualification,361845.67,48,2024-09-04,existing business,Appear coach be especially describe oil arm.,phone inquiry,False,False,best case,omitted,7214c5b0-e264-450f-a95a-8ebd31608e4e,True,True,d202f65e-8781-4b80-9376-9b963b112a63,10c319f9-5d47-453e-bf34-e603c9522053,2023-07-16,baffa9c0-50f4-4d09-9b49-b95bced9b542,2023-10-02T02:45:05.834998,d7ec9664-11c4-4add-84f0-7f0b99dcf32c,2023-03-13T06:55:13.197645,2024-01-05T06:14:07.749327,9,2024-01-04T17:09:05.599831,4,2021,q2-2020,90206b2c-d338-4313-a82c-8370404ec12d,2024-01-04T14:21:54.147075,2024-01-05T08:52:24.120850,0016358e-3938-4175-8b31-97962b84d940,61ba121f-7d8b-4ce9-b86c-3893c9e70aa7,True,True,5271d847-3f18-4397-8329-2ea24096eb22,d432178d-7e57-45be-b280-2ac149cfff48
532cbcab-bdca-45c0-96fe-0ddfb8ec764d,False,328ae02a-b61e-44a3-b4bb-96816a6a2de8,42dee129-935e-476b-8027-550bdd57b59f,"Taylor, Johnson and Ibarra opportunity",College whether anything parent daughter technology son candidate. Reflect beat green prove.,closed won,361392.08,44,2024-01-10,new business,Exactly executive various month red should director.,partner referral,False,False,commit,pipeline,c04fa61d-7503-4546-b567-b6eb00c9c145,True,True,ffcc3b9e-eb9a-47c6-bb56-4777d11db3c9,a02d2ee0-ebf4-4335-95a5-b48729256982,2023-04-25,cdbc78d1-88a4-467f-ac7c-b7144123dba1,2023-10-04T23:16:12.773308,14b04645-103c-48cc-aabd-7ff1f5b61e5d,2021-06-16T00:07:24.486401,2024-01-04T06:54:51.729695,7,2024-01-05T05:28:03.479711,1,2021,q3-2020,01a4c59e-d6ed-49b8-9123-e5389dc6d7b7,2024-01-04T20:45:18.870936,2024-01-05T19:12:34.433462,02c5fcb7-9170-45c8-8f68-478752133158,fbd723bf-20cd-4d1d-807a-a3a6b55283c4,True,False,13b5bb68-c07f-441d-aa83-9b1b67a6f8b6,75964978-58eb-4b55-a208-640b86ae3185
a8504c02-3770-45c0-b65f-861c42ac76ca,True,d8ce0393-8cdc-4f05-914c-9338038a7ecf,26c3dbb4-96fe-42fa-9b6d-b6f238dac6cf,Lee Group opportunity,Focus itself officer away return as. Show candidate high similar beautiful issue. Network side bed a since civil scene.,proposal/price quote,463774.89,41,2024-09-05,new business,Represent director now must charge positive black while.,purchased list,False,False,pipeline,best case,a6b5c4b2-1b06-4caa-94a2-47644752bc71,False,False,2d761177-036a-42a1-9b74-99331e2706db,484868e4-6c26-4586-a7fb-10ac60ca8ffc,2022-11-09,dd922a8f-c402-4257-8424-609606414b5d,2022-11-15T00:13:38.820312,c2359554-d92b-43d3-a795-33fa40aa5afb,2023-10-22T09:58:21.089498,2024-01-06T07:25:36.382787,8,2024-01-01T15:56:46.882089,3,2023,q4-2020,6e235082-b387-483e-8333-5743318ad099,2024-01-04T10:00:08.722220,2024-01-02T07:00:44.702351,323b3e17-1897-4610-ac88-b0dddc548d34,1894ce9f-0cae-4158-83aa-c68c43181eee,False,False,d251f5ea-c6d9-48ee-8770-c9a13454b82e,8e64bc6e-f89e-44d6-94a7-743973a7b88d
14963764-d632-4c8a-b283-2dee76bb2da0,True,f598f755-4832-479b-9d27-0bc4792f4143,5f6c4fb7-8c28-41ee-b3f8-4f90776d713a,Davis-Long opportunity,"Human laugh matter it campaign care. Especially law nearly modern pull eat collection.
Together account across force subject PM task.",proposal/price quote,180133.4,2,2024-04-09,existing business,Clear four because vote.,partner referral,True,False,omitted,commit,4d562fe1-3731-4114-97b3-724b57a84943,False,False,c91b9b44-e5f1-4ac4-952b-66fb84adf423,8fd7687e-7c9e-4ef4-9966-23b08b4415f0,2023-06-26,809943e2-4464-4eed-a161-ed2e6351f641,2023-11-25T17:26:40.761721,a61047cd-daf2-4d41-8c51-c7db397376dd,2020-07-12T15:03:27.400344,2024-01-01T21:15:14.117657,8,2024-01-03T06:49:19.453657,1,2023,q2-2021,fd9c1da0-1faa-4c8a-8305-19d267593ba6,2024-01-02T07:12:09.767633,2024-01-05T04:00:55.595255,154a5e05-09a0-41fd-ba2d-4d70225d9e9e,19e3a3b9-1bd1-40a6-aa79-8b6ad5e0567f,False,False,1c0bba6d-9942-472d-ae31-c56eb4b8fc07,a26e4363-bba6-4918-8a95-3b9b0c528a3b
a5309e9f-d8c1-42b4-8900-d6a064ee4f90,False,e0a34108-f5eb-4275-860d-9bc9c03a711c,7c1a5838-f1bc-4e99-b5ac-719be9e60922,Cole-Trujillo opportunity,Own contain Mrs understand arrive. Girl series watch population return decide husband. Question woman church boy responsibility along decide. Pick ever organization station happy open.,closed lost,235911.49,11,2024-05-05,existing business,Network scientist notice under discuss.,purchased list,False,False,commit,omitted,9be9807c-483f-47a5-a91f-af3f5c465226,False,False,79b948ba-f4f6-4e76-914f-bf3fac1be8e3,9c1c939d-85cd-41d2-9875-a6189c409e23,2022-12-17,2d43c88d-760f-4812-b5cc-d962671ebabf,2023-10-30T13:50:22.847310,b0cb7126-3cae-4f50-a31f-ec2a5f6e290f,2022-01-15T19:06:28.006701,2024-01-06T03:15:11.086645,10,2024-01-02T16:46:51.967592,3,2022,q1-2021,97f24ec8-88af-4984-9a33-0ca4a1ef42c1,2024-01-04T23:39:39.256280,2024-01-03T11:37:48.095001,26184f15-8838-4e28-94f0-0bf6832d4ccb,ad7ca003-b71d-4c8b-b4a6-2d766b3eb556,True,False,621e2de7-ef12-4e38-a655-47380cdc85be,e204d76f-4b19-4fbe-9983-f7f58621ee5d
99f48670-c06a-459c-bd10-9a6b85a4524b,False,f01e2007-1f55-4aca-8abc-176c82e14163,762a16a8-a49b-4877-94ee-7a06f9f301bb,"Cox, Walker and Johnson opportunity",Call after respond street. Low local note government case citizen business. Peace company instead. Agency sort point can already two.,needs analysis,422858.3,35,2024-09-15,new business,Yes care what degree almost.,partner referral,True,False,omitted,best case,b9eb1aca-4058-401a-8263-b7401f4c4525,True,True,5dfbb1e4-c6fb-4229-8026-f3772a508f0e,98bb0b4c-8952-4a27-9222-b90c47d927d4,2022-04-18,bd7d54b7-e165-4545-9318-1c9f199b3f86,2023-02-08T17:19:06.334233,c7b84304-6e5c-4b99-8e36-2ded91c3698a,2020-02-25T10:24:12.292713,2024-01-02T15:02:59.761605,3,2024-01-05T22:53:52.328788,2,2022,q2-2020,20911e4b-6724-467e-b99b-3cba17c1873b,2024-01-06T10:19:30.553253,2024-01-01T09:37:53.451343,104e14bd-4516-443b-9ee7-3ba4a4a1e4b0,d53abe06-7708-4429-8e69-b10a9a88b3ee,False,True,4c2ed69b-5320-433e-9cba-5e357a25cc78,451b8666-f7b9-4181-b95f-216c23be6a72
2ea6cec5-39a5-441b-8d8d-173a4d0d5f7f,False,723f0ce7-4beb-490a-aa46-c5d05be56b90,2db08395-8cf8-4f2a-aa13-160c76fd7c11,Mercado-Schultz opportunity,"Four girl property student half machine today. Decide lead will music option without eight.
Option treatment will actually form.",closed lost,434632.1,6,2024-07-21,existing business,Special half north off.,purchased list,True,False,closed,closed,05e76358-6f54-4c56-a6ae-a51131318fa1,True,True,e2f47e55-85c0-4528-9baf-2028148b5859,03d656a2-0c16-48db-9b84-b3c988bb4e79,2023-05-07,ef0d8cfb-2358-4f3f-8890-de46a28c9f83,2023-09-20T17:54:15.026885,a5541670-ac0c-4d39-ac4c-09809d9eae2f,2021-10-07T19:38:43.968091,2024-01-06T05:20:28.688302,7,2024-01-05T15:12:58.190598,1,2021,q1-2023,2372c0b7-6fd1-4c21-a1d4-431eb00b2cdb,2024-01-05T16:18:37.227371,2024-01-03T05:07:23.545460,4ff876fc-c417-4817-8fc2-6da449f80c67,29b610c8-0141-455e-8625-b011b7eff389,True,True,68638658-4f5d-4692-89d1-92a87d6f02ee,74e37118-6206-4a7b-ac72-4a787116f3cd
68f01089-4ffa-40f6-a171-fc6ba5563be9,True,44328dac-7a74-48f8-8082-9f8fdb8a527a,329248e2-14f0-4abd-8d7e-1075e999acf4,Miller-Miller opportunity,Condition reveal modern interview. Sometimes act actually fire minute stand. Important whether property fact bad various me.,proposal/price quote,305326.82,3,2024-04-10,new business,Or crime spend.,purchased list,True,False,omitted,commit,46c6381e-0c02-420e-b149-40503990655d,False,True,b13810c8-211f-4796-8697-6d6f7ba07513,44713581-86f9-455c-af12-4a11e9e87735,2023-03-01,2019d2b1-7d48-446f-aaca-91a983ef8044,2023-06-26T07:57:49.331143,8ec0c60b-1765-44f2-957d-19f9e56ea76f,2023-06-22T08:06:41.243748,2024-01-01T08:40:13.854038,10,2024-01-04T12:41:51.021616,2,2020,q4-2020,253657d9-12ee-47e6-a795-d20f2296bfd8,2024-01-02T22:33:38.133390,2024-01-06T14:30:15.741574,6dd681fc-bc6e-4340-aa1c-cc0fe561b7c8,853cbd96-0f57-4d36-9a7b-8bfe2e52349c,False,False,793a9467-e85f-4788-9ddb-a6da9d54c244,1629d7f2-e20b-4699-b1de-3e09d5eca108
